name,lifecycle_policy,image_count,total_size_bytes,total_size_mb,total_size_gb,total_size_tb,tags
apptentive-exports,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",2,489222209,466.55865573883057,0.4556236872449517,0.00044494500707514817,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
direct_install_redirect,null,24,460337339,439.01189708709717,0.42872255574911833,0.00041867437084874837,[]
webdev-nginx,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",22,409673975,390.69554805755615,0.3815386211499572,0.00037259630971675506,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
awin-to-bigquery,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",2,339200192,323.48651123046875,0.31590479612350464,0.00030850077746436,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
review-embeddings-bq-backfill,null,1,328340420,313.129825592041,0.30579084530472755,0.000298623872367898,[]
osm-to-mapbox,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",2,258644416,246.66253662109375,0.24088138341903687,0.0002352357259951532,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
nginx-poc,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",7,255011569,243.19798374176025,0.23749803099781275,0.0002319316708963015,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
elev-service,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",1,223334232,212.98812103271484,0.2079962119460106,0.00020312130072852597,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
npm-proxy-cache,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",3,70544119,67.27611446380615,0.0656993305310607,6.415950247173896e-05,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
appsflyer-datalocker-to-bigquery,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",1,52611726,50.17445182800293,0.04899848811328411,4.7850086048129015e-05,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
